       tAtm       Prec      rSoil      rRoot     hCritA         rB         hB         ht       tTop       tBot       Ampl       cTop       cBot  RootDepth
        331        1.48         1.5           0       1e+05           0           0           0           0           0           0           0           0           0
        332        8.78        0.66           0       1e+05           0           0           0           0           0           0           0           0           0
        333        1.68         1.2           0       1e+05           0           0           0           0           0           0           0           0           0
        334        0.68           2           0       1e+05           0           0           0           0           0           0           0           0           0
        335        4.28         0.7           0       1e+05           0           0           0           0           0           0           0           0           0
        336        0.73         0.9           0       1e+05           0           0           0           0           0           0           0           0           0
        337        0.73        1.72           0       1e+05           0           0           0           0           0           0           0           0           0
        338        0.93        2.71           0       1e+05           0           0           0           0           0           0           0           0           0
        339        2.43        2.56           0       1e+05           0           0           0           0           0           0           0           0           0
        340        0.93         1.8           0       1e+05           0           0           0           0           0           0           0           0           0
        341        0.73         2.7           0       1e+05           0           0           0           0           0           0           0           0           0
        342        0.73           4           0       1e+05           0           0           0           0           0           0           0           0           0
        343        0.73         3.5           0       1e+05           0           0           0           0           0           0           0           0           0
        344        0.73         2.8           0       1e+05           0           0           0           0           0           0           0           0           0
        345        0.73        3.51           0       1e+05           0           0           0           0           0           0           0           0           0
        346        8.03         1.7           0       1e+05           0           0           0           0           0           0           0           0           0
        347        6.13        2.52           0       1e+05           0           0           0           0           0           0           0           0           0
        348        5.63         1.5           0       1e+05           0           0           0           0           0           0           0           0           0
        349        1.93        2.03           0       1e+05           0           0           0           0           0           0           0           0           0
        350        1.03         1.9           0       1e+05           0           0           0           0           0           0           0           0           0
        351        4.33         1.8           0       1e+05           0           0           0           0           0           0           0           0           0
        352        0.73           3           0       1e+05           0           0           0           0           0           0           0           0           0
        353        0.73         3.5           0       1e+05           0           0           0           0           0           0           0           0           0
        354        0.73        4.39           0       1e+05           0           0           0           0           0           0           0           0           0
        355        0.73         4.6           0       1e+05           0           0           0           0           0           0           0           0           0
        356        0.73         3.6           0       1e+05           0           0           0           0           0           0           0           0           0
        357        5.23         3.7           0       1e+05           0           0           0           0           0           0           0           0           0
        358        2.43         3.2           0       1e+05           0           0           0           0           0           0           0           0           0
        359        0.73        1.93           0       1e+05           0           0           0           0           0           0           0           0           0
        360        3.03        2.34           0       1e+05           0           0           0           0           0           0           0           0           0
        361       10.53         2.3           0       1e+05           0           0           0           0           0           0           0           0           0
        362        0.73         3.1           0       1e+05           0           0           0           0           0           0           0           0           0
        363        0.73         3.5           0       1e+05           0           0           0           0           0           0           0           0           0
        364        0.73        3.71           0       1e+05           0           0           0           0           0           0           0           0           0
        365        0.73        3.07           0       1e+05           0           0           0           0           0           0           0           0           0
        366        0.89         2.8           0       1e+05           0           0           0           0           0           0           0           0           0
        367        0.89         2.9           0       1e+05           0           0           0           0           0           0           0           0           0
        368        0.89         3.4           0       1e+05           0           0           0           0           0           0           0           0           0
        369        0.89         3.6           0       1e+05           0           0           0           0           0           0           0           0           0
        370        0.89        4.34           0       1e+05           0           0           0           0           0           0           0           0           0
        371        0.89         4.7           0       1e+05           0           0           0           0           0           0           0           0           0
        372        0.89        5.11           0       1e+05           0           0           0           0           0           0           0           0           0
        373        0.89         5.6           0       1e+05           0           0           0           0           0           0           0           0           0
        374        0.89        5.18           0       1e+05           0           0           0           0           0           0           0           0           0
        375        3.29         3.5           0       1e+05           0           0           0           0           0           0           0           0           0
        376        0.89        2.89           0       1e+05           0           0           0           0           0           0           0           0           0
        377        0.89         3.8           0       1e+05           0           0           0           0           0           0           0           0           0
        378        0.89        5.22           0       1e+05           0           0           0           0           0           0           0           0           0
        379        0.89         6.5           0       1e+05           0           0           0           0           0           0           0           0           0
        380        6.99        4.15           0       1e+05           0           0           0           0           0           0           0           0           0
        381        1.79        2.94           0       1e+05           0           0           0           0           0           0           0           0           0
        382        0.99         3.2           0       1e+05           0           0           0           0           0           0           0           0           0
        383        0.89         1.6           0       1e+05           0           0           0           0           0           0           0           0           0
        384        0.89         2.4           0       1e+05           0           0           0           0           0           0           0           0           0
        385        0.89         5.4           0       1e+05           0           0           0           0           0           0           0           0           0
        386        0.89        5.81           0       1e+05           0           0           0           0           0           0           0           0           0
        387        0.89         5.1           0       1e+05           0           0           0           0           0           0           0           0           0
        388        0.89         5.7           0       1e+05           0           0           0           0           0           0           0           0           0
        389        0.89        4.55           0       1e+05           0           0           0           0           0           0           0           0           0
        390        0.89        5.34           0       1e+05           0           0           0           0           0           0           0           0           0
        391        0.89        5.48           0       1e+05           0           0           0           0           0           0           0           0           0
        392        0.89        4.71           0       1e+05           0           0           0           0           0           0           0           0           0
        393        0.89        5.53           0       1e+05           0           0           0           0           0           0           0           0           0
        394        6.59         6.8           0       1e+05           0           0           0           0           0           0           0           0           0
        395        4.09         4.1           0       1e+05           0           0           0           0           0           0           0           0           0
        396        0.89           5           0       1e+05           0           0           0           0           0           0           0           0           0
        397        1.92           4           0       1e+05           0           0           0           0           0           0           0           0           0
        398        1.02           2           0       1e+05           0           0           0           0           0           0           0           0           0
        399        1.02        3.05           0       1e+05           0           0           0           0           0           0           0           0           0
        400        1.02        3.57           0       1e+05           0           0           0           0           0           0           0           0           0
        401        1.02         3.7           0       1e+05           0           0           0           0           0           0           0           0           0
        402        1.02         5.9           0       1e+05           0           0           0           0           0           0           0           0           0
        403        1.02        5.63           0       1e+05           0           0           0           0           0           0           0           0           0
        404        1.02         5.4           0       1e+05           0           0           0           0           0           0           0           0           0
        405       19.52        5.47           0       1e+05           0           0           0           0           0           0           0           0           0
        406        1.02         3.5           0       1e+05           0           0           0           0           0           0           0           0           0
        407        1.02           4           0       1e+05           0           0           0           0           0           0           0           0           0
        408        1.02         2.8           0       1e+05           0           0           0           0           0           0           0           0           0
        409        1.12         2.3           0       1e+05           0           0           0           0           0           0           0           0           0
        410        1.22         4.6           0       1e+05           0           0           0           0           0           0           0           0           0
        411        1.52        3.31           0       1e+05           0           0           0           0           0           0           0           0           0
        412        1.02         4.5           0       1e+05           0           0           0           0           0           0           0           0           0
        413        1.12        4.31           0       1e+05           0           0           0           0           0           0           0           0           0
        414        1.02        3.64           0       1e+05           0           0           0           0           0           0           0           0           0
        415        1.32        3.17           0       1e+05           0           0           0           0           0           0           0           0           0
        416        1.02         4.7           0       1e+05           0           0           0           0           0           0           0           0           0
        417        4.42        3.83           0       1e+05           0           0           0           0           0           0           0           0           0
        418        2.32         3.5           0       1e+05           0           0           0           0           0           0           0           0           0
        419        1.12         2.2           0       1e+05           0           0           0           0           0           0           0           0           0
        420        1.62         1.8           0       1e+05           0           0           0           0           0           0           0           0           0
        421        1.02        2.81           0       1e+05           0           0           0           0           0           0           0           0           0
        422        1.02         3.4           0       1e+05           0           0           0           0           0           0           0           0           0
        423        1.02           5           0       1e+05           0           0           0           0           0           0           0           0           0
        424        1.02         6.1           0       1e+05           0           0           0           0           0           0           0           0           0
        425        1.02        6.52           0       1e+05           0           0           0           0           0           0           0           0           0
        426        1.02         6.2           0       1e+05           0           0           0           0           0           0           0           0           0
        427        0.93         6.2           0       1e+05           0           0           0           0           0           0           0           0           0
        428        0.93         5.7           0       1e+05           0           0           0           0           0           0           0           0           0
        429        0.93        5.74           0       1e+05           0           0           0           0           0           0           0           0           0
        430        0.93        5.84           0       1e+05           0           0           0           0           0           0           0           0           0
        431        0.93        5.38           0       1e+05           0           0           0           0           0           0           0           0           0
        432        0.93        4.48           0       1e+05           0           0           0           0           0           0           0           0           0
        433        0.93        5.51           0       1e+05           0           0           0           0           0           0           0           0           0
        434        0.93           5           0       1e+05           0           0           0           0           0           0           0           0           0
        435        0.93        3.95           0       1e+05           0           0           0           0           0           0           0           0           0
        436        9.83         2.6           0       1e+05           0           0           0           0           0           0           0           0           0
        437        1.63         2.2           0       1e+05           0           0           0           0           0           0           0           0           0
        438        2.03           4           0       1e+05           0           0           0           0           0           0           0           0           0
        439        0.93        4.42           0       1e+05           0           0           0           0           0           0           0           0           0
        440        0.93        3.98           0       1e+05           0           0           0           0           0           0           0           0           0
        441        0.93        4.89           0       1e+05           0           0           0           0           0           0           0           0           0
        442        0.93         5.2           0       1e+05           0           0           0           0           0           0           0           0           0
        443        0.93        6.31           0       1e+05           0           0           0           0           0           0           0           0           0
        444        0.93        5.33           0       1e+05           0           0           0           0           0           0           0           0           0
        445        0.93         5.3           0       1e+05           0           0           0           0           0           0           0           0           0
        446        0.93         5.3           0       1e+05           0           0           0           0           0           0           0           0           0
        447        0.93         4.5           0       1e+05           0           0           0           0           0           0           0           0           0
        448        7.63         4.1           0       1e+05           0           0           0           0           0           0           0           0           0
        449        0.93         4.9           0       1e+05           0           0           0           0           0           0           0           0           0
        450        0.93         5.8           0       1e+05           0           0           0           0           0           0           0           0           0
        451        0.93         5.9           0       1e+05           0           0           0           0           0           0           0           0           0
        452        0.93         7.1           0       1e+05           0           0           0           0           0           0           0           0           0
        453        0.93         6.5           0       1e+05           0           0           0           0           0           0           0           0           0
        454       20.63        4.98           0       1e+05           0           0           0           0           0           0           0           0           0
        455        0.93           5           0       1e+05           0           0           0           0           0           0           0           0           0
        456        0.93        5.68           0       1e+05           0           0           0           0           0           0           0           0           0
        457        0.93         6.5           0       1e+05           0           0           0           0           0           0           0           0           0
        458        4.41         5.4           0       1e+05           0           0           0           0           0           0           0           0           0
        459        1.41         4.9           0       1e+05           0           0           0           0           0           0           0           0           0
        460        0.91        5.51           0       1e+05           0           0           0           0           0           0           0           0           0
        461        0.91        5.37           0       1e+05           0           0           0           0           0           0           0           0           0
        462        0.91         4.2           0       1e+05           0           0           0           0           0           0           0           0           0
        463        0.91         5.3           0       1e+05           0           0           0           0           0           0           0           0           0
        464        0.91         6.6           0       1e+05           0           0           0           0           0           0           0           0           0
        465        0.91        5.91           0       1e+05           0           0           0           0           0           0           0           0           0
        466        8.61        4.89           0       1e+05           0           0           0           0           0           0           0           0           0
        467        0.91        4.34           0       1e+05           0           0           0           0           0           0           0           0           0
        468        2.01        3.73           0       1e+05           0           0           0           0           0           0           0           0           0
        469        0.91        4.23           0       1e+05           0           0           0           0           0           0           0           0           0
        470        1.01         3.2           0       1e+05           0           0           0           0           0           0           0           0           0
        471        5.21        2.57           0       1e+05           0           0           0           0           0           0           0           0           0
        472        0.91         2.7           0       1e+05           0           0           0           0           0           0           0           0           0
        473        0.91         4.6           0       1e+05           0           0           0           0           0           0           0           0           0
        474        0.91        3.62           0       1e+05           0           0           0           0           0           0           0           0           0
        475        0.91         3.9           0       1e+05           0           0           0           0           0           0           0           0           0
        476        0.91        4.32           0       1e+05           0           0           0           0           0           0           0           0           0
        477        0.91        2.32           0       1e+05           0           0           0           0           0           0           0           0           0
        478        0.91         3.1           0       1e+05           0           0           0           0           0           0           0           0           0
        479        0.91         4.3           0       1e+05           0           0           0           0           0           0           0           0           0
        480        0.91        4.11           0       1e+05           0           0           0           0           0           0           0           0           0
        481        3.71         2.8           0       1e+05           0           0           0           0           0           0           0           0           0
        482        0.91         2.2           0       1e+05           0           0           0           0           0           0           0           0           0
        483        0.91        2.95           0       1e+05           0           0           0           0           0           0           0           0           0
        484        1.41        2.41           0       1e+05           0           0           0           0           0           0           0           0           0
        485        0.91         2.5           0       1e+05           0           0           0           0           0           0           0           0           0
        486        0.91        4.03           0       1e+05           0           0           0           0           0           0           0           0           0
        487        3.21         1.9           0       1e+05           0           0           0           0           0           0           0           0           0
        488        0.91         2.3           0       1e+05           0           0           0           0           0           0           0           0           0
        489         0.9        2.59           0       1e+05           0           0           0           0           0           0           0           0           0
        490         0.9         2.1           0       1e+05           0           0           0           0           0           0           0           0           0
        491         0.9         2.7           0       1e+05           0           0           0           0           0           0           0           0           0
        492         0.9         2.9           0       1e+05           0           0           0           0           0           0           0           0           0
        493         0.9        2.62           0       1e+05           0           0           0           0           0           0           0           0           0
        494         3.7        2.66           0       1e+05           0           0           0           0           0           0           0           0           0
        495         1.4         2.2           0       1e+05           0           0           0           0           0           0           0           0           0
        496         0.9         2.6           0       1e+05           0           0           0           0           0           0           0           0           0
        497         0.9         2.7           0       1e+05           0           0           0           0           0           0           0           0           0
        498         0.9         2.3           0       1e+05           0           0           0           0           0           0           0           0           0
        499         0.9        3.31           0       1e+05           0           0           0           0           0           0           0           0           0
        500         0.9        2.32           0       1e+05           0           0           0           0           0           0           0           0           0
        501           8         1.1           0       1e+05           0           0           0           0           0           0           0           0           0
        502         0.9         1.9           0       1e+05           0           0           0           0           0           0           0           0           0
        503           1        1.97           0       1e+05           0           0           0           0           0           0           0           0           0
        504         0.9         2.4           0       1e+05           0           0           0           0           0           0           0           0           0
        505         0.9         2.8           0       1e+05           0           0           0           0           0           0           0           0           0
        506         0.9         3.9           0       1e+05           0           0           0           0           0           0           0           0           0
        507         0.9         3.3           0       1e+05           0           0           0           0           0           0           0           0           0
        508         0.9         3.2           0       1e+05           0           0           0           0           0           0           0           0           0
        509         1.5         2.6           0       1e+05           0           0           0           0           0           0           0           0           0
        510         3.3        1.73           0       1e+05           0           0           0           0           0           0           0           0           0
        511        16.3         0.7           0       1e+05           0           0           0           0           0           0           0           0           0
        512         3.4         1.5           0       1e+05           0           0           0           0           0           0           0           0           0
        513         0.9         1.3           0       1e+05           0           0           0           0           0           0           0           0           0
        514         0.9           2           0       1e+05           0           0           0           0           0           0           0           0           0
        515         0.9        2.05           0       1e+05           0           0           0           0           0           0           0           0           0
        516           1         1.4           0       1e+05           0           0           0           0           0           0           0           0           0
        517         0.9         1.2           0       1e+05           0           0           0           0           0           0           0           0           0
        518         0.9         1.5           0       1e+05           0           0           0           0           0           0           0           0           0
        519        2.87         1.1           0       1e+05           0           0           0           0           0           0           0           0           0
        520        2.17         0.9           0       1e+05           0           0           0           0           0           0           0           0           0
        521        1.17         1.5           0       1e+05           0           0           0           0           0           0           0           0           0
        522        0.97         0.8           0       1e+05           0           0           0           0           0           0           0           0           0
        523        0.87         1.5           0       1e+05           0           0           0           0           0           0           0           0           0
        524        0.87         1.7           0       1e+05           0           0           0           0           0           0           0           0           0
        525        0.97           1           0       1e+05           0           0           0           0           0           0           0           0           0
        526        0.87         1.1           0       1e+05           0           0           0           0           0           0           0           0           0
        527        0.87         1.2           0       1e+05           0           0           0           0           0           0           0           0           0
        528        0.87         1.5           0       1e+05           0           0           0           0           0           0           0           0           0
        529        0.87         1.7           0       1e+05           0           0           0           0           0           0           0           0           0
        530        0.87         1.8           0       1e+05           0           0           0           0           0           0           0           0           0
        531        0.87        2.08           0       1e+05           0           0           0           0           0           0           0           0           0
        532        0.87         1.8           0       1e+05           0           0           0           0           0           0           0           0           0
        533        0.87         1.5           0       1e+05           0           0           0           0           0           0           0           0           0
        534        0.87         0.9           0       1e+05           0           0           0           0           0           0           0           0           0
        535        0.87         1.1           0       1e+05           0           0           0           0           0           0           0           0           0
        536        0.87         0.5           0       1e+05           0           0           0           0           0           0           0           0           0
        537        0.87         0.8           0       1e+05           0           0           0           0           0           0           0           0           0
        538        0.87         0.8           0       1e+05           0           0           0           0           0           0           0           0           0
        539        0.87         0.7           0       1e+05           0           0           0           0           0           0           0           0           0
        540        3.17         0.8           0       1e+05           0           0           0           0           0           0           0           0           0
        541        3.27         0.9           0       1e+05           0           0           0           0           0           0           0           0           0
        542        5.97         1.2           0       1e+05           0           0           0           0           0           0           0           0           0
        543        2.27           1           0       1e+05           0           0           0           0           0           0           0           0           0
        544        1.77         0.7           0       1e+05           0           0           0           0           0           0           0           0           0
        545        0.87         0.7           0       1e+05           0           0           0           0           0           0           0           0           0
        546        0.87         0.4           0       1e+05           0           0           0           0           0           0           0           0           0
        547        0.87         0.4           0       1e+05           0           0           0           0           0           0           0           0           0
        548        0.87         0.8           0       1e+05           0           0           0           0           0           0           0           0           0
        549        0.87           1           0       1e+05           0           0           0           0           0           0           0           0           0
        550        0.71         0.4           0       1e+05           0           0           0           0           0           0           0           0           0
        551        0.71         0.6           0       1e+05           0           0           0           0           0           0           0           0           0
        552        0.71         0.4           0       1e+05           0           0           0           0           0           0           0           0           0
        553        0.71         0.3           0       1e+05           0           0           0           0           0           0           0           0           0
        554        0.71         0.3           0       1e+05           0           0           0           0           0           0           0           0           0
        555        0.71         0.4           0       1e+05           0           0           0           0           0           0           0           0           0
        556        0.71         0.6           0       1e+05           0           0           0           0           0           0           0           0           0
        557        0.71         0.5           0       1e+05           0           0           0           0           0           0           0           0           0
        558        1.11         0.6           0       1e+05           0           0           0           0           0           0           0           0           0
        559        1.31         0.7           0       1e+05           0           0           0           0           0           0           0           0           0
        560        2.41           1           0       1e+05           0           0           0           0           0           0           0           0           0
        561        2.11         0.8           0       1e+05           0           0           0           0           0           0           0           0           0
        562        4.51         0.8           0       1e+05           0           0           0           0           0           0           0           0           0
        563        0.71         0.4           0       1e+05           0           0           0           0           0           0           0           0           0
        564        0.71         0.2           0       1e+05           0           0           0           0           0           0           0           0           0
        565        0.71         0.3           0       1e+05           0           0           0           0           0           0           0           0           0
        566        0.71         0.3           0       1e+05           0           0           0           0           0           0           0           0           0
        567        1.01         0.3           0       1e+05           0           0           0           0           0           0           0           0           0
        568        0.71         0.6           0       1e+05           0           0           0           0           0           0           0           0           0
        569        0.81         0.5           0       1e+05           0           0           0           0           0           0           0           0           0
        570        0.71         0.3           0       1e+05           0           0           0           0           0           0           0           0           0
        571        0.81         0.2           0       1e+05           0           0           0           0           0           0           0           0           0
        572        0.71         0.1           0       1e+05           0           0           0           0           0           0           0           0           0
        573        1.01         0.1           0       1e+05           0           0           0           0           0           0           0           0           0
        574        3.31         0.2           0       1e+05           0           0           0           0           0           0           0           0           0
        575        0.71         0.2           0       1e+05           0           0           0           0           0           0           0           0           0
        576        0.71         0.2           0       1e+05           0           0           0           0           0           0           0           0           0
        577        0.71         0.3           0       1e+05           0           0           0           0           0           0           0           0           0
        578        0.91         0.8           0       1e+05           0           0           0           0           0           0           0           0           0
        579        1.91         0.5           0       1e+05           0           0           0           0           0           0           0           0           0
        580           0         0.4           0       1e+05           0           0           0           0           0           0           0           0           0
        581         6.9         0.5           0       1e+05           0           0           0           0           0           0           0           0           0
        582         3.9         0.8           0       1e+05           0           0           0           0           0           0           0           0           0
        583         1.3         0.7           0       1e+05           0           0           0           0           0           0           0           0           0
        584         0.2         0.3           0       1e+05           0           0           0           0           0           0           0           0           0
        585         0.8         0.4           0       1e+05           0           0           0           0           0           0           0           0           0
        586           5         0.9           0       1e+05           0           0           0           0           0           0           0           0           0
        587         1.1        0.92           0       1e+05           0           0           0           0           0           0           0           0           0
        588         6.5         1.3           0       1e+05           0           0           0           0           0           0           0           0           0
        589         2.3         0.8           0       1e+05           0           0           0           0           0           0           0           0           0
        590         0.2         0.4           0       1e+05           0           0           0           0           0           0           0           0           0
        591         0.1         0.2           0       1e+05           0           0           0           0           0           0           0           0           0
        592           0         0.2           0       1e+05           0           0           0           0           0           0           0           0           0
        593           0         0.2           0       1e+05           0           0           0           0           0           0           0           0           0
        594           0         0.1           0       1e+05           0           0           0           0           0           0           0           0           0
        595         0.2         0.1           0       1e+05           0           0           0           0           0           0           0           0           0
        596         0.5         0.2           0       1e+05           0           0           0           0           0           0           0           0           0
        597         0.1         0.3           0       1e+05           0           0           0           0           0           0           0           0           0
        598           0         0.3           0       1e+05           0           0           0           0           0           0           0           0           0
