       tAtm       Prec      rSoil      rRoot     hCritA         rB         hB         ht       tTop       tBot       Ampl       cTop       cBot  RootDepth
         94        0.81        3.31           0       1e+05           0           0           0           0           0           0           0           0           0
         95        1.81         3.7           0       1e+05           0           0           0           0           0           0           0           0           0
         96        0.81         3.9           0       1e+05           0           0           0           0           0           0           0           0           0
         97        9.71         2.3           0       1e+05           0           0           0           0           0           0           0           0           0
         98        0.81         3.4           0       1e+05           0           0           0           0           0           0           0           0           0
         99        0.81           4           0       1e+05           0           0           0           0           0           0           0           0           0
        100        1.31        3.39           0       1e+05           0           0           0           0           0           0           0           0           0
        101        0.81         3.7           0       1e+05           0           0           0           0           0           0           0           0           0
        102        3.91         2.1           0       1e+05           0           0           0           0           0           0           0           0           0
        103       34.51         1.3           0       1e+05           0           0           0           0           0           0           0           0           0
        104        5.91         1.7           0       1e+05           0           0           0           0           0           0           0           0           0
        105        1.01        2.38           0       1e+05           0           0           0           0           0           0           0           0           0
        106        0.81         3.5           0       1e+05           0           0           0           0           0           0           0           0           0
        107        0.81         3.9           0       1e+05           0           0           0           0           0           0           0           0           0
        108        1.11         2.8           0       1e+05           0           0           0           0           0           0           0           0           0
        109        2.41         2.6           0       1e+05           0           0           0           0           0           0           0           0           0
        110       12.61        1.85           0       1e+05           0           0           0           0           0           0           0           0           0
        111        0.91         2.5           0       1e+05           0           0           0           0           0           0           0           0           0
        112        3.21         2.2           0       1e+05           0           0           0           0           0           0           0           0           0
        113        0.81         2.2           0       1e+05           0           0           0           0           0           0           0           0           0
        114        0.81         2.3           0       1e+05           0           0           0           0           0           0           0           0           0
        115        0.81           3           0       1e+05           0           0           0           0           0           0           0           0           0
        116        6.41         2.4           0       1e+05           0           0           0           0           0           0           0           0           0
        117        0.81         2.7           0       1e+05           0           0           0           0           0           0           0           0           0
        118       13.51         2.2           0       1e+05           0           0           0           0           0           0           0           0           0
        119        0.81         2.6           0       1e+05           0           0           0           0           0           0           0           0           0
        120        0.81         2.7           0       1e+05           0           0           0           0           0           0           0           0           0
        121        0.81         3.3           0       1e+05           0           0           0           0           0           0           0           0           0
        122        0.81        3.31           0       1e+05           0           0           0           0           0           0           0           0           0
        123        2.51         1.7           0       1e+05           0           0           0           0           0           0           0           0           0
        124        0.76         1.7           0       1e+05           0           0           0           0           0           0           0           0           0
        125        1.16         1.9           0       1e+05           0           0           0           0           0           0           0           0           0
        126        0.76         1.9           0       1e+05           0           0           0           0           0           0           0           0           0
        127        0.76         2.4           0       1e+05           0           0           0           0           0           0           0           0           0
        128        0.96         2.2           0       1e+05           0           0           0           0           0           0           0           0           0
        129        5.76           2           0       1e+05           0           0           0           0           0           0           0           0           0
        130        2.06         1.7           0       1e+05           0           0           0           0           0           0           0           0           0
        131        2.06        1.53           0       1e+05           0           0           0           0           0           0           0           0           0
        132        1.06         1.7           0       1e+05           0           0           0           0           0           0           0           0           0
        133        0.76        1.96           0       1e+05           0           0           0           0           0           0           0           0           0
        134        0.86         1.8           0       1e+05           0           0           0           0           0           0           0           0           0
        135        1.16         1.8           0       1e+05           0           0           0           0           0           0           0           0           0
        136        3.46         2.5           0       1e+05           0           0           0           0           0           0           0           0           0
        137        3.86         1.7           0       1e+05           0           0           0           0           0           0           0           0           0
        138        2.46         1.5           0       1e+05           0           0           0           0           0           0           0           0           0
        139        0.76         1.3           0       1e+05           0           0           0           0           0           0           0           0           0
        140        1.36         1.2           0       1e+05           0           0           0           0           0           0           0           0           0
        141        4.46         1.2           0       1e+05           0           0           0           0           0           0           0           0           0
        142        0.76         1.2           0       1e+05           0           0           0           0           0           0           0           0           0
        143        0.86           1           0       1e+05           0           0           0           0           0           0           0           0           0
        144        0.76         1.3           0       1e+05           0           0           0           0           0           0           0           0           0
        145        0.76         1.2           0       1e+05           0           0           0           0           0           0           0           0           0
        146        0.76         1.2           0       1e+05           0           0           0           0           0           0           0           0           0
        147        2.46         0.7           0       1e+05           0           0           0           0           0           0           0           0           0
        148        3.36         0.8           0       1e+05           0           0           0           0           0           0           0           0           0
        149       20.86        0.97           0       1e+05           0           0           0           0           0           0           0           0           0
        150        0.76         0.8           0       1e+05           0           0           0           0           0           0           0           0           0
        151        0.96        0.65           0       1e+05           0           0           0           0           0           0           0           0           0
        152        0.76         1.3           0       1e+05           0           0           0           0           0           0           0           0           0
        153        7.96         1.2           0       1e+05           0           0           0           0           0           0           0           0           0
        154        1.31         1.3           0       1e+05           0           0           0           0           0           0           0           0           0
        155        4.51         1.2           0       1e+05           0           0           0           0           0           0           0           0           0
        156        1.71         1.4           0       1e+05           0           0           0           0           0           0           0           0           0
        157        0.71           1           0       1e+05           0           0           0           0           0           0           0           0           0
        158       11.11         1.6           0       1e+05           0           0           0           0           0           0           0           0           0
        159        2.11         1.2           0       1e+05           0           0           0           0           0           0           0           0           0
        160        8.61         0.9           0       1e+05           0           0           0           0           0           0           0           0           0
        161        1.91         1.3           0       1e+05           0           0           0           0           0           0           0           0           0
        162        0.91         0.7           0       1e+05           0           0           0           0           0           0           0           0           0
        163        3.01         0.9           0       1e+05           0           0           0           0           0           0           0           0           0
        164        0.81           1           0       1e+05           0           0           0           0           0           0           0           0           0
        165        1.21         1.4           0       1e+05           0           0           0           0           0           0           0           0           0
        166        0.71         0.9           0       1e+05           0           0           0           0           0           0           0           0           0
        167        0.71           1           0       1e+05           0           0           0           0           0           0           0           0           0
        168        0.71         1.1           0       1e+05           0           0           0           0           0           0           0           0           0
        169        0.71         1.1           0       1e+05           0           0           0           0           0           0           0           0           0
        170        0.71        0.88           0       1e+05           0           0           0           0           0           0           0           0           0
        171        0.71         0.6           0       1e+05           0           0           0           0           0           0           0           0           0
        172        0.71         0.8           0       1e+05           0           0           0           0           0           0           0           0           0
        173        4.41         0.8           0       1e+05           0           0           0           0           0           0           0           0           0
        174        3.71         0.7           0       1e+05           0           0           0           0           0           0           0           0           0
        175        1.11         0.7           0       1e+05           0           0           0           0           0           0           0           0           0
        176        3.81         0.6           0       1e+05           0           0           0           0           0           0           0           0           0
        177        1.11         0.5           0       1e+05           0           0           0           0           0           0           0           0           0
        178        1.01         0.9           0       1e+05           0           0           0           0           0           0           0           0           0
        179        0.91         0.6           0       1e+05           0           0           0           0           0           0           0           0           0
        180        2.21         0.9           0       1e+05           0           0           0           0           0           0           0           0           0
        181        1.51         0.8           0       1e+05           0           0           0           0           0           0           0           0           0
        182        3.71           2           0       1e+05           0           0           0           0           0           0           0           0           0
        183        0.71         0.8           0       1e+05           0           0           0           0           0           0           0           0           0
        184        1.01         0.5           0       1e+05           0           0           0           0           0           0           0           0           0
        185        2.96         0.7           0       1e+05           0           0           0           0           0           0           0           0           0
        186        0.76         0.7           0       1e+05           0           0           0           0           0           0           0           0           0
        187        0.06         0.4           0       1e+05           0           0           0           0           0           0           0           0           0
        188        0.06         0.4           0       1e+05           0           0           0           0           0           0           0           0           0
        189       11.26         0.4           0       1e+05           0           0           0           0           0           0           0           0           0
        190        0.06         0.3           0       1e+05           0           0           0           0           0           0           0           0           0
        191        0.06         0.2           0       1e+05           0           0           0           0           0           0           0           0           0
        192        0.06         0.3           0       1e+05           0           0           0           0           0           0           0           0           0
